문서ID,유형,버전,항목ID,항목명,정답상태,정답값,원문값,원문시작,원문끝,원문발췌,사유
D04-22S,단위불일치,scan,item_id,품목 ID,충족,P-01,P-01,11,15,P-01,품목 ID 원문 존재
D04-22S,단위불일치,scan,qty,수량,모호,,2O,20,22,2O,판독 불가(스캔 손상)
D04-22S,단위불일치,scan,unit,단위,불일치,,본,22,23,본,표준 단위 '개'와 다름
D04-22S,단위불일치,scan,need_date,희망일,충족,2026-09-28,2026-09-28,24,34,2026-09-28,특정 날짜
D04-22S,단위불일치,scan,delivery_location,배송 위치,충족,A현장 2동 옥상 기계실,A현장 2동 옥상 기계실,37,50,A현장 2동 옥상 기계실,현장명 + 세부 위치
D04-22S,단위불일치,scan,spec,규격,충족,50A,50A,16,19,50A,규격 원문 존재
D04-23,단위불일치,clean,item_id,품목 ID,충족,P-07,P-07,33,37,P-07,품목 ID 원문 존재
D04-23,단위불일치,clean,qty,수량,충족,15,15,46,48,15,양의 정수
D04-23,단위불일치,clean,unit,단위,불일치,,본,49,50,본,표준 단위 '개'와 다름
D04-23,단위불일치,clean,need_date,희망일,충족,2026-10-02,2026-10-02,58,68,2026-10-02,특정 날짜
D04-23,단위불일치,clean,delivery_location,배송 위치,충족,B현장 동측 게이트 자재창고,B현장 동측 게이트 자재창고,74,89,B현장 동측 게이트 자재창고,현장명 + 세부 위치
D04-23,단위불일치,clean,spec,규격,충족,50A,50A,38,41,50A,규격 원문 존재
D04-23S,단위불일치,scan,item_id,품목 ID,모호,,P-O7,30,34,P-O7,판독 불가(스캔 손상)
D04-23S,단위불일치,scan,qty,수량,충족,15,15,42,44,15,양의 정수
D04-23S,단위불일치,scan,unit,단위,모호,,본,45,46,본,품목 미확정으로 표준 단위 비교 불가
D04-23S,단위불일치,scan,need_date,희망일,충족,2026-10-02,2026-10-02,53,63,2026-10-02,특정 날짜
D04-23S,단위불일치,scan,delivery_location,배송 위치,충족,B현장 동측 게이트 자재창고,B현장 동측 게이트 자재창고,68,83,B현장 동측 게이트 자재창고,현장명 + 세부 위치
D04-23S,단위불일치,scan,spec,규격,충족,50A,50A,35,38,50A,규격 원문 존재
D04-24,단위불일치,clean,item_id,품목 ID,충족,P-06,P-06,32,36,P-06,품목 ID 원문 존재
D04-24,단위불일치,clean,qty,수량,충족,12,12,42,44,12,양의 정수
D04-24,단위불일치,clean,unit,단위,불일치,,EA,44,46,EA,표준 단위 '본'와 다름
D04-24,단위불일치,clean,need_date,희망일,충족,10월 5일,10월 5일,63,69,10월 5일,특정 날짜
D04-24,단위불일치,clean,delivery_location,배송 위치,충족,C현장 1동 1층 야적장,C현장 1동 1층 야적장,80,93,C현장 1동 1층 야적장,현장명 + 세부 위치
D04-24,단위불일치,clean,spec,규격,충족,100A,100A,37,41,100A,규격 원문 존재
D04-24S,단위불일치,scan,item_id,품목 ID,충족,P-06,P-06,29,33,P-06,품목 ID 원문 존재
D04-24S,단위불일치,scan,qty,수량,모호,,l2,39,41,l2,판독 불가(스캔 손상)
D04-24S,단위불일치,scan,unit,단위,불일치,,EA,41,43,EA,표준 단위 '본'와 다름
D04-24S,단위불일치,scan,need_date,희망일,충족,10월 5일,10월 5일,59,65,10월 5일,특정 날짜
D04-24S,단위불일치,scan,delivery_location,배송 위치,충족,C현장 1동 1층 야적장,C현장 1동 1층 야적장,75,88,C현장 1동 1층 야적장,현장명 + 세부 위치
D04-24S,단위불일치,scan,spec,규격,충족,100A,100A,34,38,100A,규격 원문 존재
D04-25,배송조건누락,clean,item_id,품목 ID,충족,P-01,P-01,33,37,P-01,품목 ID 원문 존재
D04-25,배송조건누락,clean,qty,수량,충족,20,20,46,48,20,양의 정수
D04-25,배송조건누락,clean,unit,단위,충족,개,개,49,50,개,표준 단위와 일치
D04-25,배송조건누락,clean,need_date,희망일,충족,2026-09-25,2026-09-25,58,68,2026-09-25,특정 날짜
D04-25,배송조건누락,clean,delivery_location,배송 위치,모호,,A현장,74,77,A현장,현장명만 있고 세부 위치 없음
D04-25,배송조건누락,clean,spec,규격,충족,50A,50A,38,41,50A,규격 원문 존재
D04-25S,배송조건누락,scan,item_id,품목 ID,충족,P-01,P-01,30,34,P-01,품목 ID 원문 존재
D04-25S,배송조건누락,scan,qty,수량,모호,,2O,42,44,2O,판독 불가(스캔 손상)
D04-25S,배송조건누락,scan,unit,단위,충족,개,개,45,46,개,표준 단위와 일치
D04-25S,배송조건누락,scan,need_date,희망일,충족,2026-09-25,2026-09-25,53,63,2026-09-25,특정 날짜
D04-25S,배송조건누락,scan,delivery_location,배송 위치,모호,,A현장,68,71,A현장,현장명만 있고 세부 위치 없음
D04-25S,배송조건누락,scan,spec,규격,충족,50A,50A,35,38,50A,규격 원문 존재
D04-26,배송조건누락,clean,item_id,품목 ID,충족,P-03,P-03,8,12,P-03,품목 ID 원문 존재
D04-26,배송조건누락,clean,qty,수량,충족,40,40,17,19,40,양의 정수
D04-26,배송조건누락,clean,unit,단위,충족,본,본,19,20,본,표준 단위와 일치
D04-26,배송조건누락,clean,need_date,희망일,충족,9월 26일,9월 26일,21,27,9월 26일,특정 날짜
D04-26,배송조건누락,clean,delivery_location,배송 위치,누락,,,,,,배송 위치 없음
D04-26,배송조건누락,clean,spec,규격,충족,50A,50A,13,16,50A,규격 원문 존재
D04-26S,배송조건누락,scan,item_id,품목 ID,충족,P-03,P-03,8,12,P-03,품목 ID 원문 존재
D04-26S,배송조건누락,scan,qty,수량,모호,,4O,17,19,4O,판독 불가(스캔 손상)
D04-26S,배송조건누락,scan,unit,단위,충족,본,본,19,20,본,표준 단위와 일치
D04-26S,배송조건누락,scan,need_date,희망일,충족,9월 26일,9월 26일,21,27,9월 26일,특정 날짜
D04-26S,배송조건누락,scan,delivery_location,배송 위치,누락,,,,,,배송 위치 없음
D04-26S,배송조건누락,scan,spec,규격,충족,50A,50A,13,16,50A,규격 원문 존재
D04-27,배송조건누락,clean,item_id,품목 ID,충족,P-09,P-09,58,62,P-09,품목 ID 원문 존재
D04-27,배송조건누락,clean,qty,수량,충족,60,60,75,77,60,양의 정수
D04-27,배송조건누락,clean,unit,단위,충족,m,m,77,78,m,표준 단위와 일치
D04-27,배송조건누락,clean,need_date,희망일,충족,9/29,9/29,88,92,9/29,특정 날짜
D04-27,배송조건누락,clean,delivery_location,배송 위치,모호,,C현장,102,105,C현장,현장명만 있고 세부 위치 없음
D04-27,배송조건누락,clean,spec,규격,충족,50A,50A,65,68,50A,규격 원문 존재
D04-27S,배송조건누락,scan,item_id,품목 ID,충족,P-09,P-09,53,57,P-09,품목 ID 원문 존재
D04-27S,배송조건누락,scan,qty,수량,충족,60,60,69,71,60,양의 정수
D04-27S,배송조건누락,scan,unit,단위,충족,m,m,71,72,m,표준 단위와 일치
D04-27S,배송조건누락,scan,need_date,희망일,충족,9/29,9/29,81,85,9/29,특정 날짜
D04-27S,배송조건누락,scan,delivery_location,배송 위치,모호,,C현장,94,97,C현장,현장명만 있고 세부 위치 없음
D04-27S,배송조건누락,scan,spec,규격,모호,,SOA,60,63,SOA,판독 불가(스캔 손상)
D04-28,배송조건누락,clean,item_id,품목 ID,충족,P-10,P-10,8,12,P-10,품목 ID 원문 존재
D04-28,배송조건누락,clean,qty,수량,충족,8,8,18,19,8,양의 정수
D04-28,배송조건누락,clean,unit,단위,충족,롤,롤,19,20,롤,표준 단위와 일치
D04-28,배송조건누락,clean,need_date,희망일,충족,2026-09-30,2026-09-30,21,31,2026-09-30,특정 날짜
D04-28,배송조건누락,clean,delivery_location,배송 위치,누락,,,,,,배송 위치 없음
D04-28,배송조건누락,clean,spec,규격,충족,12mm,12mm,13,17,12mm,규격 원문 존재
D04-28S,배송조건누락,scan,item_id,품목 ID,충족,P-10,P-10,8,12,P-10,품목 ID 원문 존재
D04-28S,배송조건누락,scan,qty,수량,충족,8,8,18,19,8,양의 정수
D04-28S,배송조건누락,scan,unit,단위,충족,롤,롤,19,20,롤,표준 단위와 일치
D04-28S,배송조건누락,scan,need_date,희망일,충족,2026-09-30,2026-09-30,21,31,2026-09-30,특정 날짜
D04-28S,배송조건누락,scan,delivery_location,배송 위치,누락,,,,,,배송 위치 없음
D04-28S,배송조건누락,scan,spec,규격,모호,,l2mm,13,17,l2mm,판독 불가(스캔 손상)
D04-29,배송조건누락,clean,item_id,품목 ID,충족,P-05,P-05,32,36,P-05,품목 ID 원문 존재
D04-29,배송조건누락,clean,qty,수량,충족,20,20,41,43,20,양의 정수
D04-29,배송조건누락,clean,unit,단위,충족,본,본,43,44,본,표준 단위와 일치
D04-29,배송조건누락,clean,need_date,희망일,충족,2026-10-01,2026-10-01,61,71,2026-10-01,특정 날짜
D04-29,배송조건누락,clean,delivery_location,배송 위치,모호,,B현장,82,85,B현장,현장명만 있고 세부 위치 없음
D04-29,배송조건누락,clean,spec,규격,충족,50A,50A,37,40,50A,규격 원문 존재
D04-29S,배송조건누락,scan,item_id,품목 ID,충족,P-05,P-05,29,33,P-05,품목 ID 원문 존재
D04-29S,배송조건누락,scan,qty,수량,모호,,2O,38,40,2O,판독 불가(스캔 손상)
D04-29S,배송조건누락,scan,unit,단위,충족,본,본,40,41,본,표준 단위와 일치
D04-29S,배송조건누락,scan,need_date,희망일,충족,2026-10-01,2026-10-01,57,67,2026-10-01,특정 날짜
D04-29S,배송조건누락,scan,delivery_location,배송 위치,모호,,B현장,77,80,B현장,현장명만 있고 세부 위치 없음
D04-29S,배송조건누락,scan,spec,규격,충족,50A,50A,34,37,50A,규격 원문 존재
D04-30,배송조건누락,clean,item_id,품목 ID,충족,P-02,P-02,58,62,P-02,품목 ID 원문 존재
D04-30,배송조건누락,clean,qty,수량,충족,12,12,76,78,12,양의 정수
D04-30,배송조건누락,clean,unit,단위,충족,개,개,78,79,개,표준 단위와 일치
D04-30,배송조건누락,clean,need_date,희망일,충족,10월 6일,10월 6일,89,95,10월 6일,특정 날짜
D04-30,배송조건누락,clean,delivery_location,배송 위치,누락,,,,,,배송 위치 없음
D04-30,배송조건누락,clean,spec,규격,충족,100A,100A,65,69,100A,규격 원문 존재
D04-30S,배송조건누락,scan,item_id,품목 ID,모호,,P-O2,53,57,P-O2,판독 불가(스캔 손상)
D04-30S,배송조건누락,scan,qty,수량,충족,12,12,70,72,12,양의 정수
D04-30S,배송조건누락,scan,unit,단위,모호,,개,72,73,개,품목 미확정으로 표준 단위 비교 불가
D04-30S,배송조건누락,scan,need_date,희망일,충족,10월 6일,10월 6일,82,88,10월 6일,특정 날짜
D04-30S,배송조건누락,scan,delivery_location,배송 위치,누락,,,,,,배송 위치 없음
D04-30S,배송조건누락,scan,spec,규격,충족,100A,100A,60,64,100A,규격 원문 존재
